cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify,BoilingPoint
Heptadecane,240.5,0,17,0,17,0,0,0,0,0,Hydrocarbon,576.15
Nonadecane,268.5,0,19,0,19,0,0,0,0,0,Hydrocarbon,603.15
Heneicosane,296.6,0,21,0,21,0,0,0,0,0,Hydrocarbon,632.15
1-Eicosanol,298.5,20.2,21,1,20,0,1,0,0,0,Alcohol,629.15
Docosane,310.6,0,22,0,22,0,0,0,0,0,Hydrocarbon,642.15
Pentacosane,352.7,0,25,0,25,0,0,0,0,0,Hydrocarbon,675.05
Hexacosane,366.7,0,26,0,26,0,0,0,0,0,Hydrocarbon,688.15
Octacosane,394.8,0,28,0,28,0,0,0,0,0,Hydrocarbon,705.15
Nonacosane,408.8,0,29,0,29,0,0,0,0,0,Hydrocarbon,716.15
Hentriacontane,436.8,0,31,0,31,0,0,0,0,0,Hydrocarbon,731.15
Tritriacontane,464.9,0,33,0,33,0,0,0,0,0,Hydrocarbon,748.15
Hexatriacontane,507,0,36,0,36,0,0,0,0,0,Hydrocarbon,777.15
Pentatriacontane,492.9,0,35,0,35,0,0,0,0,0,Hydrocarbon,762.15
Phytane,282.5,0,20,0,20,0,0,4,0,0,Hydrocarbon,442.65
Tricosane,324.6,0,23,0,23,0,0,0,0,0,Hydrocarbon,654.15
Triacontane,422.8,0,30,0,30,0,0,0,0,0,Hydrocarbon,724.15
2-Pentene,70.13,0,5,0,5,0,0,0,1,0,Hydrocarbon,309.45
Tetracosane,338.7,0,24,0,24,0,0,0,0,0,Hydrocarbon,664.15
Docosanol,326.6,20.2,23,1,22,0,1,0,0,0,Alcohol,680.15
4-Methyl-2-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon,332.15
"2-Methyl-1,3-butanediol",104.15,40.5,7,2,5,0,2,2,0,0,Alcohol,473.15
"4,4-Dimethylpent-2-ene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon,349.89151
4-Methyl-1-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon,327.15
1-Hexyne,82.14,0,6,0,6,0,0,0,0,1,Hydrocarbon,344.35
3-Methyl-1-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon,327.15
2-Ethyl-1-butene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon,337.85
"4,4-Dimethyl-1-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon,345.65
2-Methyl-1-pentene,84.16,0,6,0,6,0,0,1,1,0,Hydrocarbon,335.25
"2-Methyl-1,4-pentadiene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon,329.15
3-Methyl-3-buten-1-OL,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol,405.15
2-Butyn-1-OL,70.09,20.2,5,1,4,0,1,0,0,1,Alcohol,413.15
"2,5-Dimethyl-2,4-hexadiene",110.2,0,8,0,8,0,0,2,2,0,Hydrocarbon,408.35
2-(Vinyloxy)ethanol,88.11,29.5,6,2,4,0,2,0,1,0,Alcohol,412.15
1-Decyne,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon,447.15
"2-Methylpropane-1,2-diamine",88.15,52,6,2,4,2,0,2,0,0,Amine,404.15
3-Ethyl-2-pentene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon,368.15
1-Octyn-3-OL,126.2,20.2,9,1,8,0,1,1,0,1,Alcohol,464.5
4-Penten-1-OL,86.13,20.2,6,1,5,0,1,0,1,0,Alcohol,409.15
1-Undecene,154.29,0,11,0,11,0,0,0,1,0,Hydrocarbon,465.85
2-Methylnonane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon,440.15
1-Decene,140.27,0,10,0,10,0,0,0,1,0,Hydrocarbon,444.15
"3,3-Dimethyl-1-Butyne",82.14,0,6,0,6,0,0,2,0,1,Hydrocarbon,311.15
"2,3,4-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,412.15
"3,4-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,413.15
"4-Methyl-1,3-pentadiene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon,349.15
"3,5-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,408.15
"N,N-Dimethylbutylamine",101.19,3.2,7,1,6,1,0,1,0,0,Amine,365.35
3-Butyn-1-OL,70.09,20.2,5,1,4,0,1,0,0,1,Alcohol,402.15
Hex-3-yne,82.14,0,6,0,6,0,0,0,0,1,Hydrocarbon,354.65
Dodecylamine,185.35,26,13,1,12,1,0,0,0,0,Amine,528.15
3-Methylundecane,170.33,0,12,0,12,0,0,1,0,0,Hydrocarbon,485.15
3-Ethyl-3-methylpentane,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon,391.35
"3,3-Diethylpentane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,419.35
"3-Ethyl-2,4-dimethylpentane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,396.15
"1,5-Hexadiene-3,4-diol",114.14,40.5,8,2,6,0,2,2,2,0,Alcohol,414.15
"2,3,5-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,404.15
"2,2,4,4-Tetramethylpentane",128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon,395.35
"2,2-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,406.15
"2,2,5,5-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon,410.15
"2,6-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,408.15
"2,7-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon,433.15
Triisobutylamine,185.35,3.2,13,1,12,1,0,4,0,0,Amine,467.15
Trioctylamine,353.7,3.2,25,1,24,1,0,1,0,0,Amine,652.15
"1,2-Octanediol",146.23,40.5,10,2,8,0,2,1,0,0,Alcohol,566.56
2-Heptyne,96.17,0,7,0,7,0,0,0,0,1,Hydrocarbon,386.75
2-Decanol,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol,484.18843
Undecane,156.31,0,11,0,11,0,0,0,0,0,Hydrocarbon,469.05
1-Tetradecene,196.37,0,14,0,14,0,0,0,1,0,Hydrocarbon,524.25
Didecylamine,297.6,12,21,1,20,1,0,0,0,0,Amine,632.15
"2,2-Dimethylbutan-1-ol",102.17,20.2,7,1,6,0,1,2,0,0,Alcohol,410.15
"2,2,3,4-Tetramethylpentane",128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon,406.15
"2,5,5-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon,426.15
2-Methoxy-1-propanol,90.12,29.5,6,2,4,0,2,1,0,0,Alcohol,403.15
1-Heptadecanol,256.5,20.2,18,1,17,0,1,0,0,0,Alcohol,597.15
2-(2-Ethylhexyloxy)ethanol,174.28,29.5,12,2,10,0,2,1,0,0,Alcohol,504.15
2-Methyloctadecane,268.5,0,19,0,19,0,0,1,0,0,Hydrocarbon,599.15
2-Methylheptadecane,254.5,0,18,0,18,0,0,1,0,0,Hydrocarbon,584.2
2-Methylhexadecane,240.5,0,17,0,17,0,0,1,0,0,Hydrocarbon,570.15
2-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon,554.75
2-Methyltetradecane,212.41,0,15,0,15,0,0,1,0,0,Hydrocarbon,538.35
2-Methyltridecane,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon,521.05
2-Methyldodecane,184.36,0,13,0,13,0,0,1,0,0,Hydrocarbon,502.65
1-Propoxy-2-propanol,118.17,29.5,8,2,6,0,2,1,0,0,Alcohol,423.35
1-Ethoxy-2-propanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol,404.15
Pent-3-en-2-ol,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol,395.15
"3,6-Dimethyl-3-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol,446.15
"Penta-1,3-diene",68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon,317.15
Pent-2-en-1-ol,86.13,20.2,6,1,5,0,1,0,1,0,Alcohol,411.15
2-Ethyl-1-hexene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon,393.15
"1,9-Decadiene",138.25,0,10,0,10,0,0,0,2,0,Hydrocarbon,437.15
2-Undecanol,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol,504.15
2-Tridecanol,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol,538.15
Decane,142.28,0,10,0,10,0,0,0,0,0,Hydrocarbon,447.25
Heptadecylamine,255.5,26,18,1,17,1,0,0,0,0,Amine,609.15
Octadecylamine,269.5,26,19,1,18,1,0,0,0,0,Amine,623.15
Pristane,268.5,0,19,0,19,0,0,4,0,0,Hydrocarbon,579.15
4-Octyne,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon,406.65
5-Decyne,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon,451.15
Nonylamine,143.27,26,10,1,9,1,0,0,0,0,Amine,471.15
Tetradecylamine,213.4,26,15,1,14,1,0,0,0,0,Amine,562.15
Hexadecyldimethylamine,269.5,3.2,19,1,18,1,0,1,0,0,Amine,603.15
"N,N-Dimethyloctylamine",157.3,3.2,11,1,10,1,0,1,0,0,Amine,465.15
"N,N-Dimethylheptylamine",143.27,3.2,10,1,9,1,0,1,0,0,Amine,445.15
3-Butyn-2-ol,70.09,20.2,5,1,4,0,1,1,0,1,Alcohol,379.65
Dipentylamine,157.3,12,11,1,10,1,0,0,0,0,Amine,477.15
"2,6-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon,431.15
4-Decanol,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol,487.15
2-Methyl-1-penten-3-OL,100.16,20.2,7,1,6,0,1,2,1,0,Alcohol,407.65
"1,6-Hexanediamine",116.2,52,8,2,6,2,0,1,0,0,Amine,470.15
2-(Tetradecyloxy)ethanol,258.44,29.5,18,2,16,0,2,0,0,0,Alcohol,680.28
"2,4-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,405.15
"2,4-Dimethyl-1-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon,354.75
"2,5-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,408.15
4-Ethylheptane,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon,414.15
3-Methyloctane,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon,417.15
4-Methyloctane,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon,415.15
"Hexa-1,3,5-triene",80.13,0,6,0,6,0,0,0,3,0,Hydrocarbon,355.35
3-Methyl-2-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,426.15
"2,2-Dimethylpentan-1-ol",116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,438.9
"2,2-Dimethyl-1-hexanol",130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,445.56825
4-Decyne,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon,437.4
"1,6-Heptadiene",96.17,0,7,0,7,0,0,0,2,0,Hydrocarbon,362.15
"1,8-Nonadiyne",120.19,0,9,0,9,0,0,0,0,2,Hydrocarbon,438.15
Isononyl alcohol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol,479.15
Dihydromyrcene,138.25,0,10,0,10,0,0,2,2,0,Hydrocarbon,439.15
1-Tridecene,182.35,0,13,0,13,0,0,0,1,0,Hydrocarbon,505.95
2-Methyl-1-hexadecanol,256.5,20.2,18,1,17,0,1,1,0,0,Alcohol,680.3
3-Methoxy-1-butanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol,432.15
Pentadecylamine,227.43,26,16,1,15,1,0,0,0,0,Amine,585.15
Hexaethylene glycol,282.33,86.6,19,7,12,0,7,1,0,0,Alcohol,490.15
2-Methyl-2-hexene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon,368.15
"1,12-Dodecanediamine",200.36,52,14,2,12,2,0,1,0,0,Amine,572.15
4-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon,565.24
2-Propoxyethanol,104.15,29.5,7,2,5,0,2,0,0,0,Alcohol,425.15
2-Octyne,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon,411.15
4-Methyldecane,156.31,0,11,0,11,0,0,1,0,0,Hydrocarbon,461.15
3-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon,539.5
"2,5-Hexanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol,502.15
Didodecylamine,353.7,12,25,1,24,1,0,0,0,0,Amine,453.15
"1,1,4,7,7-Pentamethyldiethylenetriamine",173.3,9.7,12,3,9,3,0,3,0,0,Amine,471.15
"3-Hexyne-2,5-diol",114.14,40.5,8,2,6,0,2,2,0,1,Alcohol,529.36
"1,2,4-Butanetriol",106.12,60.7,7,3,4,0,3,2,0,0,Alcohol,567.22
4-Ethyl-2-methylhexane,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,407.15
3-Ethyl-3-methylhexane,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,413.15
3-Ethyl-4-methylhexane,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,413.15
"4,4-Dimethyl-1-pentanol",116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,433.15
1-Tricosanol,340.6,20.2,24,1,23,0,1,0,0,0,Alcohol,664
2-Methyloctane,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon,416.15
Ocimene,136.23,0,10,0,10,0,0,2,3,0,Hydrocarbon,346.15
1-Octen-3-OL,128.21,20.2,9,1,8,0,1,1,1,0,Alcohol,447.15
3-Methyl-1-hexene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon,357.15
"2-Ethyl-1,3-butadiene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon,346.15
"2,3-Dimethyl-1-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon,357.15
"3,3-Dimethyl-1-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon,350.15
"2,5-Dimethyl-2-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon,386.15
N-Methyldibutylamine,143.27,3.2,10,1,9,1,0,1,0,0,Amine,432.15
1-Eicosene,280.5,0,20,0,20,0,0,0,1,0,Hydrocarbon,614.15
1-Nonyne,124.22,0,9,0,9,0,0,0,0,1,Hydrocarbon,423.95
"3,5,5-Trimethyl-1-hexanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol,466.15
1-Hepten-4-OL,114.19,20.2,8,1,7,0,1,1,1,0,Alcohol,425.25
"2,2,5-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,397.15
"1,7-Octadiene",110.2,0,8,0,8,0,0,0,2,0,Hydrocarbon,390.25
"2,5-Dimethyl-2-hexanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol,427.65
4-Methyl-1-hexene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon,360.15
"2,6,10-Trimethyldodecane",212.41,0,15,0,15,0,0,3,0,0,Hydrocarbon,525.1
"2,6,10-Trimethylpentadecane",254.5,0,18,0,18,0,0,3,0,0,Hydrocarbon,610.12
2-Butyl-1-octanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol,521.15
"1,9-Nonanediol",160.25,40.5,11,2,9,0,2,1,0,0,Alcohol,589.88
1-Isopropoxy-2-propanol,118.17,29.5,8,2,6,0,2,2,0,0,Alcohol,410.65
"2,2-Dimethyl-3-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol,409.15
"2,3,6-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon,413.06493
3-Ethyl-1-pentene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon,357.15
"2-Methyl-1,5-hexadiene",96.17,0,7,0,7,0,0,1,2,0,Hydrocarbon,361.15
2-Hexene,84.16,0,6,0,6,0,0,0,1,0,Hydrocarbon,341
"2,6-Dimethyl-2-octene",140.27,0,10,0,10,0,0,2,1,0,Hydrocarbon,436.15
Pentaethylenehexamine,232.37,100,16,6,10,6,0,1,0,0,Amine,653.15
But-2-en-1-ol,72.11,20.2,5,1,4,0,1,0,1,0,Alcohol,392.65
2-Octanol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol,451.65
Tetracontane,563.1,0,40,0,40,0,0,0,0,0,Hydrocarbon,795.15
"2,2,4,4,6,8,8-Heptamethylnonane",226.44,0,16,0,16,0,0,7,0,0,Hydrocarbon,519.15
"1,2,3-Butanetriol",106.12,60.7,7,3,4,0,3,2,0,0,Alcohol,443.15
Diethylbutylamine,129.24,3.2,9,1,8,1,0,1,0,0,Amine,409.15
"3-Methyl-1,5-pentanediol",118.17,40.5,8,2,6,0,2,1,0,0,Alcohol,521.55
2-(2-Ethylbutoxy)ethanol,146.23,29.5,10,2,8,0,2,1,0,0,Alcohol,496.8
6-Methylhept-5-en-2-ol,128.21,20.2,9,1,8,0,1,2,1,0,Alcohol,459.15
2-Methylbut-2-en-1-ol,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol,410.15
2-Tetradecanol,214.39,20.2,15,1,14,0,1,1,0,0,Alcohol,557.15
1-Hexen-3-OL,100.16,20.2,7,1,6,0,1,1,1,0,Alcohol,407.15
4-Methyl-1-penten-3-OL,100.16,20.2,7,1,6,0,1,2,1,0,Alcohol,398.15
3-Methyl-1-heptene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon,384.15
"N,N'-Dibutyl-1,6-hexanediamine",228.42,24.1,16,2,14,2,0,0,0,0,Amine,620.26
"2,3-Dimethyl-2-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol,402.9
1-Hepten-3-OL,114.19,20.2,8,1,7,0,1,1,1,0,Alcohol,426.9
"3,7-Dimethyl-1-octene",140.27,0,10,0,10,0,0,2,1,0,Hydrocarbon,428.15
6-Methyl-1-heptene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon,386.15
1-Butoxy-2-propanol,132.2,29.5,9,2,7,0,2,1,0,0,Alcohol,445.15
1-Methylpentylamine,101.19,26,7,1,6,1,0,1,0,0,Amine,389.15
2-Octyl-1-dodecanol,298.5,20.2,21,1,20,0,1,1,0,0,Alcohol,748.94
3-Methyl-3-octanol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol,462.15
"1,11-Dodecadiene",166.3,0,12,0,12,0,0,0,2,0,Hydrocarbon,481.65
Ditridecylamine,381.7,12,27,1,26,1,0,0,0,0,Amine,844.65
3-Methylnonane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon,441.15
4-Nonanol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol,465.65
2-Pentanol,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol,392.25
2-Methyl-1-hexene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon,365.15
7-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon,565.24
3-Ethyl-1-pentyn-3-ol,112.17,20.2,8,1,7,0,1,2,0,1,Alcohol,411.15
"2,4-Dimethyl-1-pentanol",116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,431
1-Heptadecene,238.5,0,17,0,17,0,0,0,1,0,Hydrocarbon,574.15
6-Dodecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol,565.9
"3,4-Diethyl-3,4-hexanediol",174.28,40.5,12,2,10,0,2,4,0,0,Alcohol,503.15
2-Methyldecane,156.31,0,11,0,11,0,0,1,0,0,Hydrocarbon,462.35
2-Methylundecane,170.33,0,12,0,12,0,0,1,0,0,Hydrocarbon,484.15
Tetratetracontane,619.2,0,44,0,44,0,0,0,0,0,Hydrocarbon,821.15
"5,5-Dimethylhex-1-ene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon,375.15
"2,3-Dimethyl-2-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon,395.15
"2,3-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon,437.15
"3,3,5-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon,430.15
Heptatriacontane,521,0,37,0,37,0,0,0,0,0,Hydrocarbon,778.15
"3,7,11-Trimethyldodecan-3-ol",228.41,20.2,16,1,15,0,1,4,0,0,Alcohol,630.87
"3,4,4-Trimethyl-3-pentanol",130.229,20.2,9,1,8,0,1,4,0,0,Alcohol,426.41115
"3,4-Dimethyl-1-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon,355.15
5-Decene,140.27,0,10,0,10,0,0,0,1,0,Hydrocarbon,442.75
2-(Dodecyloxy)ethanol,230.39,29.5,16,2,14,0,2,0,0,0,Alcohol,634.52
1-(2-Butoxy-1-methylethoxy)propan-2-ol,190.28,38.7,13,3,10,0,3,2,0,0,Alcohol,564.54
Sec-butylamine,73.14,26,5,1,4,1,0,1,0,0,Amine,336.15
"2,3-Dimethyl-1-pentanol",116.2,20.2,8,1,7,0,1,2,0,0,Alcohol,437.15
2-Dodecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol,522.15
5-Dodecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol,565.9
Tetradec-7-ene,196.37,0,14,0,14,0,0,0,1,0,Hydrocarbon,524.08
"N,N'-Bis(3-aminopropyl)ethylenediamine",174.29,76.1,12,4,8,4,0,1,0,0,Amine,628.04
3-Methylhex-2-ene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon,367
"2,3-Dimethyl-2-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon,369.15
9-Decen-1-OL,156.26,20.2,11,1,10,0,1,0,1,0,Alcohol,509.15
"4,8,12-Trioxatridecan-1-ol",206.28,47.9,14,4,10,0,4,0,0,0,Alcohol,587.84
3-Methyl-1-hexanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol,445.35
6-Methyltridecane,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon,519.48
1-Pentadecene,210.4,0,15,0,15,0,0,0,1,0,Hydrocarbon,541.55
1-(2-Methoxypropoxy)-2-propanol,148.2,38.7,10,3,7,0,3,2,0,0,Alcohol,495.9
5-Ethyl-2-methylheptane,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon,432.86
"2,2,3,3-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon,433.15
"2,2,4,6,6-Pentamethylheptane",170.33,0,12,0,12,0,0,5,0,0,Hydrocarbon,451.15
"2,3-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon,413.75
Tetratriacontane,478.9,0,34,0,34,0,0,0,0,0,Hydrocarbon,756.15
"2,2,4-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon,421.45
4-Methyl-3-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol,430.15
"2,7-Dimethyl-1-octanol",158.28,20.2,11,1,10,0,1,2,0,0,Alcohol,519.7
5-Methylnonane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon,437.15
2-Methyl-1-heptene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon,392.15
"4,5-Dimethyl-1-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon,382.15
"2,2,3-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,407.15
"2,2,4-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,400.15
"2,3,3-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,410.15
"2,4,4-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,403.75
"3,3,4-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,412.15
"3-Ethyl-2,2-dimethylpentane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,407.15
"3-Ethyl-2,3-dimethylpentane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon,415.15
"2,3,3,4-Tetramethylpentane",128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon,414.65
"2,2,4,5-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon,421.05
"2,5-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,488.15
"2,6-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,496.16
"4,8-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,496.16
4-Methylnonane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon,439.15
"2,5-Dimethylnonane",156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon,452.15
"2,6-Dimethylnonane",156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon,452.15
"3,7-Dimethylnonane",156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon,457.15
"2,2-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon,474.15
"3,7-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon,475.15
3-Methyldodecane,184.36,0,13,0,13,0,0,1,0,0,Hydrocarbon,503.45
"3,3-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,493.81
"4,4-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,493.81
"5,5-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,493.81
"6,6-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,493.81
"4,5-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,496.16
"2,4-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,489.15
"4,6-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon,496.16
"2,6,10,14-Tetramethylheptadecane",296.6,0,21,0,21,0,0,4,0,0,Hydrocarbon,678.32
1-Nonadecene,266.5,0,19,0,19,0,0,0,1,0,Hydrocarbon,604.15
Dihydromyrcenol,156.26,20.2,11,1,10,0,1,3,1,0,Alcohol,513.59
1-Hexacosene,364.7,0,26,0,26,0,0,0,1,0,Hydrocarbon,684.15
2-Ethoxy-1-propanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol,413.65
"2,6-Dimethyl-3-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol,448.15
"3,5-Dimethyl-4-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol,452.15
"2,3-Dimethylbutan-1-ol",102.17,20.2,7,1,6,0,1,2,0,0,Alcohol,415
7-Methylheptadecane,254.5,0,18,0,18,0,0,1,0,0,Hydrocarbon,611
"1,12-Tridecadiene",180.33,0,13,0,13,0,0,0,2,0,Hydrocarbon,490.4
"1,13-Tetradecadiene",194.36,0,14,0,14,0,0,0,2,0,Hydrocarbon,513.28
Di-tert-butylamine,129.24,12,9,1,8,1,0,4,0,0,Amine,366.65
8-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon,565.24
Tributylborane,182.16,0,13,0,12,0,0,2,0,0,Hydrocarbon,482.15
Myrcene,136.23,0,10,0,10,0,0,2,3,0,Hydrocarbon,444.15
"2,2,4-Trimethyl-1-pentanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol,438.76616
Isoamyl alcohol,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol,403.95
Diallylamine,97.16,12,7,1,6,1,0,0,2,0,Amine,385.15
